日期	開盤	最高	最低	收盤	成交量	是否結算日
2025-05-06	20415	20482	20138	20345	174508	FALSE
2025-05-07	20325	20555	20160	20377	197489	FALSE
2025-05-08	20382	20694	20251	20578	199346	FALSE
2025-05-09	20565	20869	20505	20845	190213	FALSE
2025-05-12	20868	21133	20730	21073	142587	FALSE
2025-05-13	21074	21519	21068	21355	174752	FALSE
2025-05-14	21339	21785	21314	21772	149649	FALSE
2025-05-15	21805	21888	21677	21695	134924	FALSE
2025-05-16	21698	21875	21630	21823	120876	FALSE
2025-05-19	21820	21932	21500	21538	130177	FALSE
2025-05-20	21520	21784	21475	21543	113177	FALSE
2025-05-21	21535	21855	21493	21851	76162	TRUE
2025-05-22	21668	21725	21394	21499	146608	FALSE
2025-05-23	21509	21638	21333	21466	156291	FALSE
2025-05-26	21451	21563	21073	21381	195522	FALSE
2025-05-27	21402	21437	21134	21221	95905	FALSE
2025-05-28	21233	21511	21151	21250	150800	FALSE
2025-05-29	21250	21615	21192	21317	149880	FALSE
2025-06-02	21292	21292	20790	20870	180612	FALSE
2025-06-03	20880	21219	20828	20974	146461	FALSE
2025-06-04	21018	21535	20976	21479	140875	FALSE
2025-06-05	21498	21676	21454	21554	118121	FALSE
2025-06-06	21556	21751	21503	21566	132859	FALSE
2025-06-09	21578	21786	21534	21719	100972	FALSE
2025-06-10	21739	22238	21721	22116	123829	FALSE
2025-06-11	22129	22355	22098	22344	116457	FALSE
2025-06-12	22359	22490	22216	22253	122578	FALSE
2025-06-13	22234	22348	21893	21940	155089	FALSE
2025-06-16	21964	22144	21869	22032	125598	FALSE
2025-06-17	22055	22277	22037	22163	106916	FALSE
2025-06-18	22150	22385	22033	22308	87093	TRUE
2025-06-19	21955	21978	21676	21703	151951	FALSE
2025-06-20	21683	21741	21469	21650	143648	FALSE
2025-06-23	21651	21788	21210	21472	197686	FALSE
2025-06-24	21482	21965	21352	21959	182238	FALSE
2025-06-25	22000	22168	21928	22163	122143	FALSE
2025-06-26	22144	22264	22079	22115	117082	FALSE
2025-06-27	22125	22220	21990	22122	131222	FALSE
2025-06-30	22100	22253	22038	22144	125257	FALSE
2025-07-01	22138	22593	22013	22352	140251	FALSE
2025-07-02	22352	22409	22210	22393	116076	FALSE
2025-07-03	22390	22715	22282	22680	126730	FALSE
2025-07-04	22705	22875	22431	22436	134044	FALSE
2025-07-07	22420	22504	22246	22328	117577	FALSE
2025-07-08	22314	22425	22143	22258	139336	FALSE
2025-07-09	22275	22473	22150	22434	110576	FALSE
2025-07-10	22445	22646	22366	22607	131192	FALSE
2025-07-11	22613	22774	22486	22767	123288	FALSE
2025-07-14	22749	22753	22521	22547	103895	FALSE
2025-07-15	22524	22881	22460	22804	105389	FALSE
2025-07-16	22826	23117	22815	23049	76278	TRUE
2025-07-17	22900	23149	22811	23137	139063	FALSE
2025-07-18	23300	23414	23230	23260	127272	FALSE
2025-07-21	23270	23320	23171	23220	87478	FALSE
2025-07-22	23250	23406	22981	22996	139131	FALSE
2025-07-23	23000	23256	22863	23184	131196	FALSE
2025-07-24	23200	23405	23154	23303	100469	FALSE
2025-07-25	23300	23329	23191	23237	83960	FALSE
2025-07-28	23237	23483	23190	23385	113294	FALSE
2025-07-29	23397	23404	23029	23151	115815	FALSE
2025-07-30	23180	23419	23133	23359	130413	FALSE
2025-07-31	23363	23622	23224	23584	131304	FALSE
2025-08-01	23595	23682	23040	23345	174628	FALSE
2025-08-04	23300	23322	22982	23272	164741	FALSE
2025-08-05	23279	23583	23268	23577	100312	FALSE
2025-08-06	23599	23621	23378	23417	115011	FALSE
2025-08-07	23411	24053	23292	23997	147287	FALSE
2025-08-08	24005	24130	23931	23953	102336	FALSE
2025-08-11	23930	24222	23833	24148	106840	FALSE
2025-08-12	24168	24239	24074	24142	84841	FALSE
2025-08-13	24167	24407	24135	24343	119304	FALSE
2025-08-14	24349	24439	24208	24252	89654	FALSE
2025-08-15	24247	24383	24188	24297	100831	FALSE
2025-08-18	24315	24462	24140	24424	103527	FALSE
2025-08-19	24395	24447	24314	24346	67278	FALSE
2025-08-20	24348	24379	23630	23636	91154	TRUE
2025-08-21	23650	23940	23530	23852	158761	FALSE
2025-08-22	23874	23980	23732	23750	131899	FALSE
2025-08-25	23721	24310	23715	24255	167797	FALSE
2025-08-26	24238	24280	24090	24255	103874	FALSE
2025-08-27	24242	24495	24190	24464	96264	FALSE
2025-08-28	24473	24486	24205	24224	131745	FALSE
2025-08-29	24261	24452	24247	24268	123019	FALSE
2025-09-01	24250	24285	23847	24007	181207	FALSE
2025-09-02	24011	24247	23882	23972	122956	FALSE
2025-09-03	24004	24081	23691	23997	180620	FALSE
2025-09-04	24006	24363	23978	24130	170748	FALSE
2025-09-05	24126	24428	24118	24424	110733	FALSE
2025-09-08	24440	24673	24290	24556	171061	FALSE
2025-09-09	24570	24837	24561	24803	100838	FALSE
2025-09-10	24815	25244	24751	25176	132944	FALSE
2025-09-11	25193	25474	25166	25233	150108	FALSE
2025-09-12	25260	25465	25256	25458	101447	FALSE
2025-09-15	25440	25449	25270	25347	93620	FALSE
2025-09-16	25365	25664	25286	25625	79392	FALSE
2025-09-17	25623	25650	25401	25434	70195	TRUE
2025-09-18	25479	25745	25351	25712	152235	FALSE
2025-09-19	25705	25888	25595	25670	177553	FALSE
2025-09-22	25664	25939	25641	25893	107795	FALSE
2025-09-23	25869	26325	25792	26263	135325	FALSE
2025-09-24	26266	26545	26073	26234	168432	FALSE
2025-09-25	26228	26296	26089	26095	119916	FALSE
2025-09-26	26076	26093	25500	25660	221319	FALSE
2025-09-30	25660	26045	25566	25953	142279	FALSE
2025-10-01	25945	26375	25913	26043	141535	FALSE
2025-10-02	25976	26526	25919	26424	142903	FALSE
2025-10-03	26429	26764	26365	26736	156588	FALSE
2025-10-07	26770	27358	26635	27317	144179	FALSE
2025-10-08	27300	27398	26909	27093	140249	FALSE
2025-10-09	27048	27455	27000	27338	142157	FALSE
2025-10-13	27338	27395	26392	26915	159979	FALSE
2025-10-14	26915	27449	26715	26725	175947	FALSE
2025-10-15	26740	27189	26499	27158	148845	TRUE
2025-10-16	27313	27877	27233	27818	246804	FALSE
2025-10-17	27796	27815	27227	27328	244357	FALSE
2025-10-20	27270	27822	27035	27780	262400	FALSE
2025-10-21	27800	28035	27702	27831	167254	FALSE
2025-10-22	27828	27949	27526	27708	188055	FALSE
2025-10-23	27732	27738	27314	27556	211669	FALSE
2025-10-27	27609	28287	27494	28219	163004	FALSE
2025-10-28	28230	28324	27983	28005	138496	FALSE
2025-10-29	27986	28444	27952	28414	135757	FALSE
2025-10-30	28439	28551	28182	28399	190670	FALSE
2025-10-31	28382	28588	28202	28430	172425	FALSE
2025-11-03	28430	28582	28151	28341	189455	FALSE
2025-11-04	28320	28593	28111	28119	188013	FALSE
2025-11-05	28100	28228	27414	27808	250023	FALSE
2025-11-06	27850	28155	27747	28034	173965	FALSE
2025-11-07	28008	28134	27596	27721	233864	FALSE
2025-11-10	27755	28038	27154	28016	262429	FALSE
2025-11-11	28003	28180	27760	27780	181174	FALSE
2025-11-12	27810	28079	27708	28059	167877	FALSE
2025-11-13	28080	28175	27805	27978	170594	FALSE
2025-11-14	28008	28065	27365	27404	212909	FALSE
2025-11-17	27389	27690	26953	27481	275947	FALSE
2025-11-18	27459	27573	26774	26814	244985	FALSE
2025-11-19	26750	27021	26536	26613	171377	TRUE
2025-11-20	26678	27492	26657	27484	251568	FALSE
2025-11-21	27503	27540	26396	26476	318221	FALSE
2025-11-24	26487	26799	26248	26614	323433	FALSE
2025-11-25	26615	27103	26455	26933	223985	FALSE
2025-11-26	26903	27382	26650	27339	237292	FALSE
2025-11-27	27350	27648	27226	27579	195922	FALSE
2025-11-28	27570	27852	27524	27737	95726	FALSE
2025-12-01	27750	27864	27403	27406	135752	FALSE
2025-12-02	27444	27788	27406	27559	176475	FALSE
2025-12-03	27568	27889	27562	27760	171887	FALSE
2025-12-04	27750	27878	27611	27798	167677	FALSE
2025-12-05	27824	28019	27704	28010	148547	FALSE
2025-12-08	28026	28298	27973	28284	146034	FALSE
2025-12-09	28281	28360	28172	28217	116847	FALSE
2025-12-10	28217	28433	28134	28400	119634	FALSE
2025-12-11	28415	28699	28060	28101	172091	FALSE
2025-12-12	28109	28343	28093	28290	142133	FALSE
2025-12-15	28280	28334	27711	27910	182928	FALSE
2025-12-16	27892	28030	27411	27635	166520	FALSE
2025-12-17	27624	27796	27475	27482	116112	TRUE
2025-12-18	27735	27959	27351	27598	251808	FALSE
2025-12-19	27588	27984	27577	27897	194072	FALSE
2025-12-22	27900	28367	27870	28341	158219	FALSE
2025-12-23	28341	28455	28290	28415	93621	FALSE
2025-12-24	28406	28580	28335	28467	110650	FALSE
2025-12-26	28466	28714	28456	28677	92110	FALSE
2025-12-29	28667	28998	28615	28940	106246	FALSE
2025-12-30	28936	28955	28705	28875	122847	FALSE
2025-12-31	28870	29052	28782	29014	117905	FALSE
2026-01-02	29007	29498	28963	29479	130753	FALSE
2026-01-05	29500	30487	29465	30309	233725	FALSE
2026-01-06	30350	30672	30183	30627	161121	FALSE
2026-01-07	30627	30677	30451	30516	152113	FALSE
2026-01-08	30507	30662	30265	30458	162038	FALSE
2026-01-09	30423	30581	30007	30453	190607	FALSE
2026-01-12	30466	30837	30417	30700	164537	FALSE
2026-01-13	30723	31253	30625	30870	205912	FALSE
2026-01-14	30870	31161	30855	30980	167088	FALSE
2026-01-15	30956	31055	30660	31050	185457	FALSE
2026-01-16	31158	31543	31117	31476	207932	FALSE
2026-01-19	31486	31774	31208	31672	162169	FALSE
2026-01-20	31645	31740	31328	31668	122523	FALSE
2026-01-21	31580	31650	31185	31246	150233	TRUE
2026-01-22	31500	32054	31450	31863	269076	FALSE
2026-01-23	31845	32165	31834	32159	200506	FALSE
2026-01-26	32174	32265	32057	32150	186127	FALSE
2026-01-27	32132	32531	32037	32505	173770	FALSE
2026-01-28	32535	32938	32513	32925	153402	FALSE
2026-01-29	32998	33151	32588	32774	230585	FALSE
2026-01-30	32760	32798	31995	32252	295648	FALSE
2026-02-02	32128	32306	31393	31616	373300	FALSE
2026-02-03	31600	32444	31585	32284	241772	FALSE
2026-02-04	32297	32495	31741	32416	274824	FALSE
2026-02-05	32478	32613	31766	31902	335450	FALSE
2026-02-06	31944	32050	31222	31789	398283	FALSE
2026-02-09	31832	32856	31754	32650	239145	FALSE
2026-02-10	32612	33310	32456	33303	205181	FALSE
2026-02-11	33276	33844	33183	33686	197848	FALSE
2026-02-23	33612	34355	33606	33841	152543	FALSE
2026-02-24	33942	34955	33824	34837	238854	FALSE
2026-02-25	34840	35775	34820	35489	265933	FALSE
2026-02-26	35480	35756	35350	35611	214564	FALSE
2026-03-02	35634	35878	34701	35238	346959	FALSE
2026-03-03	35095	35363	34314	34331	442791	FALSE
2026-03-04	34300	34443	32680	32871	632355	FALSE
2026-03-05	32871	34293	32808	33666	489274	FALSE
2026-03-06	33675	33888	32832	33703	535429	FALSE
2026-03-09	33712	33792	31123	31902	571580	FALSE
2026-03-10	31943	33518	31762	32717	484458	FALSE
2026-03-11	32760	34184	32708	34004	451824	FALSE
2026-03-12	33945	34006	33328	33512	415642	FALSE
2026-03-13	33620	33843	32444	33304	479370	FALSE
2026-03-16	33126	33722	32682	33264	497531	FALSE
2026-03-17	33351	34016	33103	33801	293239	FALSE
2026-03-18	33647	34440	33501	34266	217836	TRUE
2026-03-19	34562	34800	33541	33559	395309	FALSE
2026-03-20	33550	33886	32858	33559	515312	FALSE
2026-03-23	33450	33745	32215	32559	500626	FALSE
2026-03-24	32220	33998	32088	32781	622210	FALSE
2026-03-25	33020	33870	32788	33623	432500	FALSE
2026-03-26	33554	34023	33350	33441	424033	FALSE
2026-03-27	33468	33542	32635	33126	397795	FALSE
2026-03-30	33080	33081	32028	32480	430448	FALSE
2026-03-31	32653	32858	31803	31954	432808	FALSE
2026-04-01	31944	33410	31744	33389	422028	FALSE
2026-04-02	33610	33884	32498	32505	444837	FALSE
2026-04-07	32569	33374	32191	33177	391248	FALSE
2026-04-08	33213	35062	32826	35016	419970	FALSE
2026-04-09	35000	35345	34747	34924	318820	FALSE
2026-04-10	34896	35577	34765	35569	268518	FALSE
2026-04-13	35512	35747	35185	35460	228407	FALSE
2026-04-14	35500	36430	35459	36377	207511	FALSE
2026-04-15	36389	37067	36355	36645	144235	TRUE
2026-04-16	37000	37665	37000	37649	254294	FALSE
2026-04-17	37568	37569	36930	37078	319592	FALSE
2026-04-20	37023	37992	37011	37240	315214	FALSE
2026-04-21	37280	38159	37216	38048	287784	FALSE
2026-04-22	38133	38368	37548	38216	306309	FALSE
2026-04-23	38226	39082	37410	37851	421381	FALSE
2026-04-24	37925	39242	37649	39222	434985	FALSE
2026-04-27	39263	40445	39131	39921	402316	FALSE
2026-04-28	39871	40344	39489	39733	326049	FALSE
2026-04-29	39650	39853	39126	39479	366662	FALSE
2026-04-30	39484	39938	39172	39342	381715	FALSE
2026-05-04	39390	41073	39376	41056	383418	FALSE
2026-05-05	41011	41188	40547	41034	319211	FALSE
2026-05-06	41067	42000	40959	41514	373511	FALSE
2026-05-07	41464	42470	41412	42352	364376	FALSE
2026-05-08	42412	42554	41543	41931	384729	FALSE
2026-05-11	41997	42297	41669	41969	304360	FALSE
2026-05-12	41968	42364	41607	41704	359102	FALSE
2026-05-13	41638	41692	40739	41448	462071	FALSE
2026-05-14	41500	42237	41211	41636	393217	FALSE
2026-05-15	41758	42450	40980	40998	421933	FALSE
2026-05-18	41146	41222	40150	40797	444654	FALSE
2026-05-19	40901	41450	40190	40240	410497	FALSE
2026-05-20	40312	40539	39738	40072	307829	TRUE
2026-05-21	40273	41666	40219	41503	348651	FALSE
2026-05-22	41367	42499	41198	42455	396617	FALSE
2026-05-25	42404	44050	42323	43870	325189	FALSE
2026-05-26	43876	44396	43622	43864	243890	FALSE
2026-05-27	43940	45256	43790	44794	388870	FALSE
2026-05-28	44689	45621	43464	43839	590399	FALSE
2026-05-29	43930	45469	43930	45315	406153	FALSE
2026-06-01	45384	46464	44855	46041	435640	FALSE
2026-06-02	46077	46744	45333	46103	456674	FALSE
2026-06-03	46240	46990	46180	46857	333423	FALSE
2026-06-04	46795	46978	46142	46310	402566	FALSE
2026-06-05	46362	46545	44662	45226	578605	FALSE
2026-06-08	45099	45315	40704	42150	457045	FALSE
